obj_id,path_background,path_dapi,path_yap,path_actin,height,width,channels,center,eccentricity,center_rot
9,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0009_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0009_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0009_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0009_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([177.73140496]), array([136.5785124]))",[0.98740944],"(326.8456239844563, 439.8721873065855)"
10,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0010_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0010_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0010_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0010_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([104.89473684]), array([136.88157895]))",[0.92867025],"(418.0185913333436, 272.5031544417728)"
11,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0011_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0011_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0011_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0011_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([114.55970149]), array([144.09701493]))",[0.86620654],"(422.6305435118651, 303.72466450546546)"
12,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0012_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0012_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0012_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0012_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([246.39419087]), array([174.99585062]))",[0.95900007],"(330.0317953774836, 645.7256614073523)"
14,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0014_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0014_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0014_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0014_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([42.08163265]), array([223.0533752]))",[0.9855135],"(694.4994629669154, 234.88168837921012)"
18,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0018_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0018_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0018_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0018_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([155.42780749]), array([195.31550802]))",[0.99639697],"(489.8237546097327, 461.4670991380592)"
24,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0024_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0024_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0024_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0024_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([129.54576271]), array([113.36610169]))",[0.91734287],"(333.2410081009249, 300.0653126356019)"
25,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0025_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0025_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0025_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0025_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([209.21705426]), array([193.60465116]))",[0.9654443],"(419.068591853102, 583.2205245418759)"
30,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0030_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0030_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0030_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0030_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([125.46816479]), array([149.]))",[0.93925345],"(420.37220964003484, 334.9375567913625)"
31,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0031_stainbackground_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0031_stainDAPI_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0031_stainYAP_real.tiff,C:\Users\sbsas\Documents\uni\Projects\Nikita PhD\Chip_1462_1_real\obj0031_stainActin_real.tiff,300,300,"actin,background,dapi,yap","(array([165.3105802]), array([132.21843003]))",[0.95450007],"(332.2328815325192, 405.8506452047317)"
